	query_id	query_text
0	trip_24	pain management nursing
1	trip_40	food intolerance
2	trip_55	green tea
3	trip_59	paediatric intensive care
4	trip_67	diarrhea children
5	trip_100	cuidados paliativos
6	trip_164	otitis media
7	trip_263	diabetic nephropathy
8	trip_319	pressure ulcer
9	trip_356	parenteral nutrition
10	trip_391	carpal tunnel syndrome
11	trip_392	foot reflexology
12	trip_559	antibiotic resistance
13	trip_659	neonatal abstinence
14	trip_681	dementia screening
15	trip_689	occupational therapy stroke
16	trip_704	asthma children
17	trip_766	cancer pain
18	trip_823	diabetic neuropathy
19	trip_835	laparoscopic cholecystectomy
20	trip_903	achilles tendinopathy
21	trip_908	cervical cancer
22	trip_937	erectile dysfunction
23	trip_980	pleural effusion
24	trip_1007	breast cancer screening
25	trip_1051	testosterone replacement therapy
26	trip_1071	low back pain
27	trip_1076	asthma education children
28	trip_1112	proton pump inhibitors osteoporosis
29	trip_1118	renal failure
30	trip_1180	post lumbar puncture headache
31	trip_1184	vulvovaginal candidiasis
32	trip_1189	Sleep apnea
33	trip_1255	obstructive sleep apnea
34	trip_1291	macular degeneration
35	trip_1300	panic disorder treatment
36	trip_1337	urinary tract infection
37	trip_1341	induction of labor
38	trip_1351	infection control
39	trip_1353	acute sinusitis
40	trip_1427	congenital adrenal hyperplasia
41	trip_1454	procalcitonin sepsis
42	trip_1499	childhood obesity prevention
43	trip_1503	adolescent idiopathic scoliosis
44	trip_1541	cervical cerclage
45	trip_1585	obsessive compulsive disorder
46	trip_1599	irritable bowel syndrome
47	trip_1602	hepatitis c
48	trip_1617	infective endocarditis
49	trip_1620	threatened abortion
50	trip_1628	2 diabetes
51	trip_1648	venous thromboembolism
52	trip_1650	kidney disease
53	trip_1653	vitamin D
54	trip_1668	otitis media children
55	trip_1719	pneumonia treatment
56	trip_1725	spironolactone heart failure
57	trip_1728	diabetes and hypertension
58	trip_1729	heart disease
59	trip_1730	bell's palsy
60	trip_1734	influenza vaccine
61	trip_1839	pyelonephritis treatment
62	trip_1868	asthma treatment
63	trip_1908	asthma exacerbation
64	trip_1947	shock septic
65	trip_2032	whooping cough
66	trip_2049	mild cognitive impairment
67	trip_2130	contrast induced nephropathy
68	trip_2151	breast feeding
69	trip_2160	emergency contraception
70	trip_2213	arterial hypertension
71	trip_2276	trigger finger
72	trip_2294	pulmonary hypertension
73	trip_2298	urinary catheter care
74	trip_2330	endometrial cancer
75	trip_2365	cataract surgery
76	trip_2387	diabetic retinopathy
77	trip_2474	communication skills
78	trip_2506	Cerebral palsy
79	trip_2559	pediatric asthma
80	trip_2560	autism spectrum disorders
81	trip_2571	carotid endarterectomy
82	trip_2672	lichen sclerosus
83	trip_2677	carotid stenosis
84	trip_2767	patient falls
85	trip_2884	hpv vaccination
86	trip_2909	Glasgow coma scale
87	trip_2910	borderline personality disorder
88	trip_2919	pain management
89	trip_3006	tinea corporis
90	trip_3040	psa screening
91	trip_3060	dental amalgam
92	trip_3092	chronic fatigue
93	trip_3096	vitamin c cold
94	trip_3102	preoperative hair removal
95	trip_3115	glass ionomer
96	trip_3203	ldl cholesterol
97	trip_3317	anorexia nervosa
98	trip_3390	physical activity
99	trip_3427	heart attack
100	trip_3450	scabies treatment
101	trip_3527	magnesium sulfate
102	trip_3666	treatment resistant depression
103	trip_3756	urinary infection
104	trip_3804	dental caries
105	trip_3816	hypertension elderly
106	trip_3844	induction of labour
107	trip_3887	hand hygiene
108	trip_3957	knee arthroplasty
109	trip_3995	postoperative pain
110	trip_4003	enteral nutrition
111	trip_4014	nursing education
112	trip_4051	bruxism children
113	trip_4059	diabetic foot infection
114	trip_4096	hypertension treatment
115	trip_4266	cardiorenal syndrome
116	trip_4284	postnatal depression
117	trip_4291	acute abdominal pain
118	trip_4292	artritis reumatoide
119	trip_4312	glatiramer acetate multiple sclerosis
120	trip_4378	intraosseous access
121	trip_4386	febrile seizures
122	trip_4426	anemia pregnancy
123	trip_4465	blood pressure measurement
124	trip_4485	chronic kidney disease
125	trip_4498	cardiovascular risk
126	trip_4518	infectious mononucleosis
127	trip_4538	lung cancer screening
128	trip_4543	video games
129	trip_4630	ipilimumab melanoma
130	trip_4689	icu delirium
131	trip_4715	stroke prevention
132	trip_4720	mental health
