	query_id	query_text
4	trip_4946	Low back pain
5	trip_9015	cerebral palsy
6	trip_9232	#1 and #2
7	trip_9246	glasgow coma scale
9	trip_12771	back pain
10	trip_15232	Otitis media
11	trip_16522	Vitamin D
12	trip_20792	#1 and #3
13	trip_21048	#1 and #2 and #3
15	trip_23400	Surgical site infection
16	trip_24269	stenotrophomonas maltophilia
17	trip_24282	#3 and #2 and #1
18	trip_28288	Nephrotic syndrome
19	trip_30702	Pulmonary hypertension
20	trip_31575	sleep apnea
21	trip_37468	Chronic kidney disease
22	trip_42538	Lung cancer
23	trip_43150	e cigarette
24	trip_43948	#2 and #1
25	trip_49224	personality disorders
28	trip_68272	Cervical cancer
29	trip_77172	#1 #2 #3 #4 #5
30	trip_79700	HEART FAILURE
31	trip_80458	diabetes mellitus type 2
33	trip_88729	Alzheimer's disease
35	trip_106443	Trigeminal neuralgia
36	trip_119241	Chronic Obstructive Pulmonary Disease
37	trip_129810	febrile seizure
41	trip_150284	Dengue fever
43	trip_210364	BCG vaccine
44	trip_217283	â¢ Physical Activity breast cancer outcome
45	trip_261512	diarrea children
46	trip_273449	post myocardial infarction ARBs ACE inhibitors reduced mortality
47	trip_281824	'Caffeine's effects on true and false memory'
48	trip_295373	#10 or #5
50	trip_350800	#1 or #2 and #3 and #4 or #5 or #6
53	trip_594268	Diabetes Mellitus
62	trip_1055994	radiotherapy head neck cancer contour varia
72	trip_1534425	Covid 19
